file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,110,css,9a7f69ee,Edgar,2025-01-16,20:16:58,-08:00,2025-01-16T20:16:58-08:00,0,13
style.css,111,css,9a7f69ee,Edgar,2025-01-16,20:16:58,-08:00,2025-01-16T20:16:58-08:00,0,9
style.css,112,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,0
style.css,113,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,0
style.css,114,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,20
style.css,115,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,6
style.css,116,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,20
style.css,117,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,24
style.css,118,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,26
style.css,119,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,29
style.css,120,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,0
style.css,121,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,31
style.css,122,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,20
style.css,123,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,24
style.css,124,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,26
style.css,125,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,38
style.css,126,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,0
style.css,127,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,0
style.css,128,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,39
style.css,129,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,20
style.css,130,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,0
style.css,131,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,0
style.css,132,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,60
style.css,133,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,17
style.css,134,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,0
style.css,135,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,26
style.css,136,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,20
style.css,137,css,33e2e818,Edgar,2025-01-17,18:20:30,-08:00,2025-01-17T18:20:30-08:00,0,18
style.css,138,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,0
style.css,139,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,0
style.css,140,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,26
style.css,141,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,14
style.css,142,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,18
style.css,143,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,9
style.css,144,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,11
style.css,145,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,14
style.css,146,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,20
style.css,147,css,46a1a5d1,Edgar,2025-01-24,19:13:24,-08:00,2025-01-24T19:13:24-08:00,0,16
